SQRP SY2019 Individual Indicator Scores (Based on 2017-2018 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2018-2019 SQRP Rating,SY 2018-2019 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400089,ACERO - MARQUEZ,Charter,4.7,Level 1+,Not Applicable,94,100,5,17.5,94,100,5,17.5,72.5,100,5,10,,,,,94,100,5,1.25,99,100,5,1.25,,,,,,,,,94,100,5,1.25,96,100,5,1.25,,,,,70,100,4,5,64,100,3,5,80,100,4,2.5,76,100,4,2.5,96.2,5,20,Organized,4,10,99.6,5,5,
400092,CICS - BOND,Charter,2.9,Level 2,Not Applicable,66,100,3,17.5,40,100,3,17.5,51.8,100,3,10,66,100,4,1.25,,,,,,,,,92,100,5,1.25,40,100,3,1.25,,,,,,,,,96,100,5,1.25,45,100,3,5,35,100,2,5,18,99,2,2.5,24,99,2,2.5,93,2,20,Moderately Organized,3,10,99.6,5,5,
400096,ROWE,Charter,4,Level 1+,Not Applicable,70,100,4,15,87,100,4,15,64.5,100,4,10,75,100,5,1.25,71,100,5,1.25,54,100,4,1.25,32,100,3,1.25,81,100,5,1.25,88,100,5,1.25,93,100,5,1.25,82,100,5,1.25,64,100,3,5,72,100,4,5,82,100,4,2.5,82,100,4,2.5,96.3,5,20,Not Yet Organized,1,10,99.6,5,5,
400101,ACERO - CISNEROS,Charter,4,Level 1+,Not Applicable,76,100,4,17.5,68,100,3,17.5,61.5,100,4,10,,,,,75,100,5,1.25,85,100,5,1.25,,,,,,,,,68,100,4,1.25,55,100,4,1.25,,,,,78,100,4,5,71,100,4,5,85,100,4,2.5,45,100,3,2.5,97,5,20,Moderately Organized,3,10,99.2,5,5,
400107,LEARN - SOUTH CHICAGO,Charter,3.3,Level 2+,Not Applicable,44,100,3,18.75,61,100,3,18.75,51.5,100,3,10,42,100,3,1.25,,,,,,,,,,,,,61,100,4,1.25,,,,,,,,,,,,,42,100,3,5,49,100,3,5,41,100,3,2.5,28,100,2,2.5,95.9,4,20,Moderately Organized,3,10,100,5,5,
400111,LEARN - PERKINS,Charter,3.5,Level 1,Not Applicable,36,100,2,17.5,50,100,3,17.5,53.9,100,3,10,36,100,3,1.25,,,,,,,,,6,100,1,1.25,50,100,4,1.25,,,,,,,,,12,100,2,1.25,48,100,3,5,45,100,3,5,48,100,3,2.5,49,100,3,2.5,96,5,20,Well Organized,5,10,100,5,5,
400112,ACERO - IDAR,Charter,3.7,Level 1,Not Applicable,66,100,3,17.5,72,100,4,17.5,60.4,100,4,10,,,,,66,100,4,1.25,66,100,4,1.25,,,,,,,,,73,100,5,1.25,63,100,4,1.25,,,,,67,100,3,5,86,100,4,5,51,100,3,2.5,32,100,2,2.5,96.1,5,20,Not Yet Organized,1,10,100,5,5,
400114,ACERO - SANTIAGO,Charter,4.1,Level 1+,Not Applicable,56,100,3,17.5,73,100,4,17.5,59.7,100,3,10,,,,,58,100,4,1.25,22,100,2,1.25,,,,,,,,,75,100,5,1.25,78,100,5,1.25,,,,,79,100,4,5,86,100,4,5,86,100,4,2.5,97,100,5,2.5,97.5,5,20,Well Organized,5,10,100,5,5,
400116,MONTESSORI ENGLEWOOD,Charter,1.8,Level 3,Not Applicable,1,96,1,18.75,1,98,1,18.75,20.8,97,1,10,1,96,1,1.25,,,,,,,,,,,,,1,98,1,1.25,,,,,,,,,,,,,2,96,1,5,2,98,1,5,1,97,1,2.5,1,95,1,2.5,95,4,20,Not Yet Organized,1,10,99.6,5,5,
400120,ACERO - CLEMENTE,Charter,3.5,Level 1,Not Applicable,75,100,4,17.5,68,100,3,17.5,59.6,100,3,10,,,,,78,100,5,1.25,56,100,4,1.25,,,,,,,,,68,100,4,1.25,65,100,4,1.25,,,,,57,100,3,5,47,100,3,5,56,100,3,2.5,47,100,3,2.5,96,5,20,Not Yet Organized,1,10,100,5,5,
